date,name,type,area,area_in_square_km,area_in_square_km_as_percent_of_Ukraine,area_as_percent_of_Ukraine,change_in_square_km,change_in_percent,source
2022-02-24,UkraineControlMapAO24FEB2022.geojson,Territory assessed as Russia-controlled,79528129059.6231,79528.12905962308,13.177817574088332,13.177817574088332,NA,NA,Institute for the Study of War
2022-02-25,UkraineControlMapAO25FEB2022.geojson,Territory assessed as Russia-controlled,99200448491.2071,99200.44849120713,16.43752253375429,16.43752253375429,19672.319431584052,24.73630357484646,Institute for the Study of War
2022-02-26,ClaimedRussianTerritoryinUkraineFEB262022.geojson,Claimed Russian control,595992337.854011,595.9923378540109,0.09875597976039949,0.09875597976039949,NA,NA,Institute for the Study of War
2022-02-26,UkraineControlMapAO26FEB2022.geojson,Territory assessed as Russia-controlled,118034755629.201,118034.75562920053,19.55836878694292,19.55836878694292,18834.307137993397,18.98611087394713,Institute for the Study of War
2022-02-27,UkraineControlMapAO27FEB2022.geojson,Territory assessed as Russia-controlled,119093608849.981,119093.60884998113,19.7338208533523,19.7338208533523,1058.8532207805983,0.89706901593199,Institute for the Study of War
2022-02-28,UkraineControlMapAO28FEB2022.geojson,Territory assessed as Russia-controlled,118293457664.878,118293.45766487827,19.6012357356882,19.6012357356882,-800.1511851028627,-0.6718674434585239,Institute for the Study of War
2022-03-01,ClaimedRussianTerritoryinUkraineAO01Mar2022.geojson,Claimed Russian control,1248344998.59164,1248.3449985916354,0.20685086969206884,0.20685086969206884,652.3526607376245,109.45655158698018,Institute for the Study of War
2022-03-01,UkraineControlMapAO1Mar2022.geojson,Territory assessed as Russia-controlled,119112251086.848,119112.25108684764,19.73690987354559,19.73690987354559,818.7934219693707,0.6921713492296313,Institute for the Study of War
2022-03-02,AssessedRussianAdvanceInUkraineMAR2.geojson,Assessed Russian advances,6383152873.59404,6383.1528735940365,1.0576889599990118,1.0576889599990118,NA,NA,Institute for the Study of War
2022-03-02,AssessedRussianControlOfTerrainMAR2.geojson,Territory assessed as Russia-controlled,121517452417.354,121517.45241735382,20.135451933281495,20.135451933281495,2405.2013305061846,2.0192728359675565,Institute for the Study of War
2022-03-02,ClaimedRussianTerritoryinUkraineMAR2.geojson,Claimed Russian control,214584741.446316,214.58474144631603,0.03555670943600928,0.03555670943600928,-1033.7602571453194,-82.81046171623971,Institute for the Study of War
2022-03-03,AssessedRussianAdvanceInUkraineMAR3.geojson,Assessed Russian advances,13159340776.9434,13159.340776943356,2.180503856991443,2.180503856991443,6776.18790334932,106.15738080441719,Institute for the Study of War
2022-03-03,MDS_ClaimedRussianTerritoryinUkraineMAR3.geojson,Claimed Russian control,534408396.213499,534.4083962134987,0.0885515155283345,0.0885515155283345,319.8236547671827,149.04305525712084,Institute for the Study of War
2022-03-03,UkraineControlMapAO3Mar2022.geojson,Territory assessed as Russia-controlled,121673594571.19,121673.59457119033,20.161324701108587,20.161324701108587,156.14215383651026,0.12849360378313174,Institute for the Study of War
2022-03-04,AssessedRussianAdvanceInUkraineMAR4.geojson,Assessed Russian advances,13592863131.0038,13592.863131003825,2.252338546976607,2.252338546976607,433.5223540604693,3.2944078385753883,Institute for the Study of War
2022-03-04,ClaimedRussianTerritoryinUkraineMAR4.geojson,Claimed Russian control,384512949.8095,384.51294980949956,0.0637138276403479,0.0637138276403479,-149.89544640399913,-28.048856916558474,Institute for the Study of War
